YEAR,MONTH,DATE,POS NO.,ITEM NO.,PRODUCT DESCRIPTION,SRP,UOM,CONVERTER,DISC,ORIG QTY,QTY UOM,PACK,KG,PCS,CURRENCY,AMOUNT,COMM RATE,NET SALES,SKU CATEGORY,AREA,KAM,CHAIN,BANNER,SKU number,SKU PER BRAND,GENERALIZED SKU,MOTHER SKU,Sales Category,SKU Department,PLACEMENT,PLACEMENT REMARKS,,,,,
2024,APRIL,04/01/2024,POS24040100543,2,THE GOOD MEAT REGULAR GROUND PORK,319.00,KGs,"x 1,000", ,260.00000,Gs,0.00000,0.26000,0.00000,PHP,82.94000,15%,70.50000,PORK,SOUTH GMA,NORMS,WESHOP,SOUTH GMA,0,TGM REGULAR GROUND PORK,REGULAR GROUND PORK,REGULAR GROUND PORK,RETAIL,MEAT,VAM WITH TGM SHOWCASE AND SRP,OK,Manila,1st District Metro Manila,PORK,SHOWCASE,TGM
2024,APRIL,04/01/2024,POS24040100545,1,THE GOOD MEAT WHITE EGG BRANDED BY 12'S (MED),120.00,DZN,x 1, ,1.00000,DZN,0.00000,0.00000,12.00000,PHP,120.00000,15%,102.00000,EGG,SOUTH GMA,NORMS,WESHOP,SOUTH GMA,0,TGM WHITE EGG BRANDED by 12'S (MEDIUM),WHITE EGG BRANDED by 12'S (MEDIUM),P3,RETAIL,POULTRY - EGG,VAM WITH TGM SHOWCASE AND SRP,OK,Manila,1st District Metro Manila,EGG,EGG,TGM
2024,APRIL,04/01/2024,POS24040100546,6,THE GOOD MEAT PORK SISIG 200G,155.00,PCS,x 1, ,1.00000,PCS,1.00000,0.20000,0.00000,PHP,155.00000,15%,131.75000,VAM,SOUTH GMA,NORMS,WESHOP,SOUTH GMA,0,TGM PORK SISIG 200G,PORK SISIG 200G,VAM,RETAIL,RTE,VAM WITH TGM SHOWCASE AND SRP,OK,Manila,1st District Metro Manila,SISIG,VAM,TGM
2024,APRIL,04/01/2024,POS24040100556,3,THE GOOD MEAT REGULAR GROUND PORK,319.00,KGs,"x 1,000", ,485.00000,Gs,0.00000,0.48500,0.00000,PHP,154.72000,15%,131.51000,PORK,SOUTH GMA,NORMS,WESHOP,SOUTH GMA,0,TGM REGULAR GROUND PORK,REGULAR GROUND PORK,REGULAR GROUND PORK,RETAIL,MEAT,VAM WITH TGM SHOWCASE AND SRP,OK,Manila,1st District Metro Manila,PORK,SHOWCASE,TGM
2024,APRIL,04/01/2024,POS24040100556,4,THE GOOD MEAT TONKATSU SLICE,389.00,KGs,"x 1,000", ,200.00000,Gs,0.00000,0.20000,0.00000,PHP,77.80000,15%,66.13000,PORK,SOUTH GMA,NORMS,WESHOP,SOUTH GMA,0,TGM TONKATSU SLICE,TONKATSU SLICE,TONKATSU SLICE,RETAIL,MEAT,VAM WITH TGM SHOWCASE AND SRP,OK,Manila,1st District Metro Manila,PORK,SHOWCASE,TGM
2024,APRIL,04/01/2024,POS24040100561,12,THE GOOD MEAT WHITE EGG BRANDED BY 12'S (LARGE),123.00,DZN,x 1, ,1.00000,DZN,0.00000,0.00000,12.00000,PHP,123.00000,15%,104.55000,EGG,SOUTH GMA,NORMS,WESHOP,SOUTH GMA,0,TGM WHITE EGG BRANDED by 12'S (LARGE),WHITE EGG BRANDED by 12'S (LARGE),P4,RETAIL,POULTRY - EGG,VAM WITH TGM SHOWCASE AND SRP,OK,Manila,1st District Metro Manila,EGG,EGG,TGM
2024,APRIL,04/01/2024,POS24040100565,2,THE GOOD MEAT CHICKEN LEG QUARTER,249.00,KGs,"x 1,000", ,1.00000,Gs,0.00000,0.00100,0.00000,PHP,324.95000,15%,276.20000,CHICKEN,SOUTH GMA,NORMS,WESHOP,SOUTH GMA,0,TGM CHICKEN LEG QUARTER,CHICKEN LEG QUARTER,CHICKEN LEG,RETAIL,POULTRY - CHICKEN,VAM WITH TGM SHOWCASE AND SRP,OK,Manila,1st District Metro Manila,CHICKEN,CHICKEN,TGM
2024,APRIL,04/01/2024,POS24040100565,3,THE GOOD MEAT PORK STEAK,389.00,KGs,"x 1,000", ,900.00000,Gs,0.00000,0.90000,0.00000,PHP,350.10000,15%,297.58000,PORK,SOUTH GMA,NORMS,WESHOP,SOUTH GMA,0,TGM PORK STEAK,PORK STEAK,PORK STEAK,RETAIL,MEAT,VAM WITH TGM SHOWCASE AND SRP,OK,Manila,1st District Metro Manila,PORK,SHOWCASE,TGM
2024,APRIL,04/01/2024,POS24040100657,1,THE GOOD MEAT CHICKEN LEG QUARTER,249.00,KGs,"x 1,000", ,430.00000,Gs,0.00000,0.43000,0.00000,PHP,107.07000,15%,91.01000,CHICKEN,SOUTH GMA,NORMS,WESHOP,SOUTH GMA,0,TGM CHICKEN LEG QUARTER,CHICKEN LEG QUARTER,CHICKEN LEG,RETAIL,POULTRY - CHICKEN,VAM WITH TGM SHOWCASE AND SRP,OK,Manila,1st District Metro Manila,CHICKEN,CHICKEN,TGM
2024,APRIL,04/01/2024,POS24040100657,2,THE GOOD MEAT CHICKEN BREAST,249.00,KGs,"x 1,000", ,1.00000,Gs,0.00000,0.00100,0.00000,PHP,255.23000,15%,216.94000,CHICKEN,SOUTH GMA,NORMS,WESHOP,SOUTH GMA,0,TGM CHICKEN BREAST,CHICKEN BREAST,CHICKEN BREAST,RETAIL,POULTRY - CHICKEN,VAM WITH TGM SHOWCASE AND SRP,OK,Manila,1st District Metro Manila,CHICKEN,CHICKEN,TGM
2024,APRIL,04/01/2024,POS24040100680,1,THE GOOD MEAT CHICKEN WINGS,239.00,KGs,"x 1,000", ,700.00000,Gs,0.00000,0.70000,0.00000,PHP,167.30000,15%,142.20000,CHICKEN,SOUTH GMA,NORMS,WESHOP,SOUTH GMA,0,TGM CHICKEN WINGS,CHICKEN WINGS,CHICKEN WINGS,RETAIL,POULTRY - CHICKEN,VAM WITH TGM SHOWCASE AND SRP,OK,Manila,1st District Metro Manila,CHICKEN,CHICKEN,TGM
2024,APRIL,04/01/2024,POS24040100686,1,THE GOOD MEAT WHITE EGG BRANDED BY 12'S (MED),120.00,DZN,x 1, ,1.00000,DZN,0.00000,0.00000,12.00000,PHP,120.00000,15%,102.00000,EGG,SOUTH GMA,NORMS,WESHOP,SOUTH GMA,0,TGM WHITE EGG BRANDED by 12'S (MEDIUM),WHITE EGG BRANDED by 12'S (MEDIUM),P3,RETAIL,POULTRY - EGG,VAM WITH TGM SHOWCASE AND SRP,OK,Manila,1st District Metro Manila,EGG,EGG,TGM
2024,APRIL,04/01/2024,POS24040100688,1,THE GOOD MEAT WHITE EGG BRANDED BY 12'S (MED),120.00,DZN,x 1, ,1.00000,DZN,0.00000,0.00000,12.00000,PHP,120.00000,15%,102.00000,EGG,SOUTH GMA,NORMS,WESHOP,SOUTH GMA,0,TGM WHITE EGG BRANDED by 12'S (MEDIUM),WHITE EGG BRANDED by 12'S (MEDIUM),P3,RETAIL,POULTRY - EGG,VAM WITH TGM SHOWCASE AND SRP,OK,Manila,1st District Metro Manila,EGG,EGG,TGM
