YEAR,MONTH,DATE,CHAIN,Branch Code,Branch,SKU,Description,ORIG QTY,UOM,PACK,KG,PCS,Gross Sales,Comm Amount,Net Sales,SKU CATEGORY,AREA,KAM,SKU REPORT IDENTIFIER 1,UPC,BANNER,SKU PER BRAND,GENERALIZED SKU,MOTHER SKU,Sales Category,SKU Department,PLACEMENT,PLACEMENT REMARKS,NET TAX,TAX,,,,,
2024,APR,APR 1 TO 7,PUREGOLD,721 BLRJR,PUREGOLD JR BALARA,61720,TGM BABY BACK RIBS,2.14000,KG,0.00000,2.14000,0.00000,963.11000,115.57200,847.53800,PORK,GMA,ARGIE,PORK,317512_240408,PUREGOLD,TGM BABY BACK RIBS,BABY BACK RIBS,BABY BACK RIBS,RETAIL,MEAT,TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,PORK,SHOWCASE,TGM
2024,APR,APR 1 TO 7,PUREGOLD,721 BLRJR,PUREGOLD JR BALARA,61721,TGM BACON SLICE,0.66000,KG,0.00000,0.66000,0.00000,329.34000,39.52000,289.82000,PORK,GMA,ARGIE,PORK,317512_240408,PUREGOLD,TGM BACON SLICE,BACON SLICE,BELLY,RETAIL,MEAT,TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,PORK,SHOWCASE,TGM
2024,APR,APR 1 TO 7,PUREGOLD,721 BLRJR,PUREGOLD JR BALARA,61722,TGM BELLY SOBI/BELLY SLICED,20.53000,KG,0.00000,20.53000,0.00000,9774.29000,1172.90300,8601.38700,PORK,GMA,ARGIE,PORK,317512_240408,PUREGOLD,TGM BELLY SOBI/BELLY SLICED,BELLY SOBI/BELLY SLICED,BELLY,RETAIL,MEAT,TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,PORK,SHOWCASE,TGM
2024,APR,APR 1 TO 7,PUREGOLD,721 BLRJR,PUREGOLD JR BALARA,61723,TGM BUTTERFLY CUT,1.41000,KG,0.00000,1.41000,0.00000,550.44000,66.05200,484.38800,PORK,GMA,ARGIE,PORK,317512_240408,PUREGOLD,TGM BUTTERFLY CUT,BUTTERFLY CUT,BUTTERFLY CUT,RETAIL,MEAT,TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,PORK,SHOWCASE,TGM
2024,APR,APR 1 TO 7,PUREGOLD,721 BLRJR,PUREGOLD JR BALARA,61732,TGM KASIM SOBL,19.37000,KG,0.00000,19.37000,0.00000,6820.09000,818.40700,6001.68300,PORK,GMA,ARGIE,PORK,317512_240408,PUREGOLD,TGM PORK KASIM SOBL,PORK KASIM SOBL,KASIM,RETAIL,MEAT,TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,PORK,SHOWCASE,TGM
2024,APR,APR 1 TO 7,PUREGOLD,721 BLRJR,PUREGOLD JR BALARA,61733,TGM LEAN GROUND PORK,16.15000,KG,0.00000,16.15000,0.00000,5795.55000,695.45200,5100.09800,PORK,GMA,ARGIE,PORK,317512_240408,PUREGOLD,TGM LEAN GROUND PORK,LEAN GROUND PORK,LEAN GROUND PORK,RETAIL,MEAT,TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,PORK,SHOWCASE,TGM
2024,APR,APR 1 TO 7,PUREGOLD,721 BLRJR,PUREGOLD JR BALARA,61734,TGM LECHON KAWALI CUT,8.11000,KG,0.00000,8.11000,0.00000,3397.69000,407.72000,2989.97000,PORK,GMA,ARGIE,PORK,317512_240408,PUREGOLD,TGM LECHON KAWALI CUT,LECHON KAWALI CUT,BELLY,RETAIL,MEAT,TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,PORK,SHOWCASE,TGM
2024,APR,APR 1 TO 7,PUREGOLD,721 BLRJR,PUREGOLD JR BALARA,61735,TGM MENUDO CUT,10.53000,KG,0.00000,10.53000,0.00000,4009.04000,481.08000,3527.96000,PORK,GMA,ARGIE,PORK,317512_240408,PUREGOLD,TGM PORK MENUDO CUT,PORK MENUDO CUT,MENUDO CUT,RETAIL,MEAT,TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,PORK,SHOWCASE,TGM
2024,APR,APR 1 TO 7,PUREGOLD,721 BLRJR,PUREGOLD JR BALARA,61736,TGM PATA FRONT,4.26000,KG,0.00000,4.26000,0.00000,1471.43000,176.57100,1294.85900,PORK,GMA,ARGIE,PORK,317512_240408,PUREGOLD,TGM PATA FRONT,PATA FRONT,PATA FRONT,RETAIL,MEAT,TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,PORK,SHOWCASE,TGM
2024,APR,APR 1 TO 7,PUREGOLD,721 BLRJR,PUREGOLD JR BALARA,61737,TGM PATA SLICED,6.82000,KG,0.00000,6.82000,0.00000,2415.36000,289.84000,2125.52000,PORK,GMA,ARGIE,PORK,317512_240408,PUREGOLD,TGM PATA SLICED,PATA SLICED,PATA SLICED,RETAIL,MEAT,TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,PORK,SHOWCASE,TGM
