,1,Sales Liquidation By SKU,Report  Date: 01-02-2024 09:02,,,,,,,
,1,(Reference No:C_INVC_PO17025700),,,,,,,,
,1,,Page 1 Of 1,,,,,,,
,  1 1,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
From Period: 01-JAN-2024  ,To period: 31-JAN-2024,  Reference No:   C_INVC_PO17025700          ,                            PO No: 17025700        ,,,,,,,
,,,,,,,,,,
CONCESSIONAIRE,,,,,,,,,,
Supplier Site:    ,903066   -   PILMICO ANIMAL NUTRITION CORPORATION                                                                                                                                      ,Store:    ,2012-METRO GAISANO MARKET (BINONDO)          ,,,,,,,
Supplier Site Address:,ABOITIZ CORPORATE CENTER GOV. MANUEL A. CUENCE AVE. KASAMBAGAN,Department:,2020  - Meat and Poultry          ,,,,,,,
,",CEBU CITY",,,,,,,,,
SKU and transaction date wise summary:-,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
SKU,Description,Tran Date,Post Date,Sell UOM,QTY,Concession ,Gross Sales Amt ,Concession Amt ,Input VAT,Concession Amt
,,,,,,Rate   (%),(Incl of VAT),(Excl of VAT),,(Incl of VAT)
21841,TGM - LEAN GROUND PORK - KILO,12-Jan-24,12-Jan-24,KG,0.83,88,263.18,231.6,0,231.60  
21843,TGM - PORK STEAK - KILO,12-Jan-24,12-Jan-24,KG,1.81,88,599.87,527.89,0,527.89  
21844,TGM - PORK BABY BACK RIBS - KILO,12-Jan-24,12-Jan-24,KG,2.51,88,"1,077.75",948.42,0,948.42  
21846,TGM - PORK RIB SHOULDER - KILO,12-Jan-24,12-Jan-24,KG,1.34,88,465.92,410.01,0,410.01  
21870,TGM - KASIM SOBL - KILO,12-Jan-24,12-Jan-24,KG,1.57,88,536.34,471.98,0,471.98  
21872,TGM - GROUND ROUND - KILO,12-Jan-24,12-Jan-24,KG,0.26,88,119.34,105.02,0,105.02  
21826,TGM - PORKCHOP SOBI - KILO,13-Jan-24,13-Jan-24,KG,1.27,88,452.35,398.07,0,398.07  
21832,TGM - PORK BELLY SOBI - KILO,13-Jan-24,13-Jan-24,KG,0.52,88,226.09,198.96,0,198.96  
21834,TGM - REGULAR GROUND PORK - KILO,13-Jan-24,13-Jan-24,KG,1.04,88,278.42,245.01,0,245.01  
21838,TGM - PORK MENUDO CUT - KILO,13-Jan-24,13-Jan-24,KG,2.11,88,715.29,629.46,0,629.46  
21841,TGM - LEAN GROUND PORK - KILO,13-Jan-24,13-Jan-24,KG,1.05,88,331.77,291.96,0,291.96  
21843,TGM - PORK STEAK - KILO,13-Jan-24,13-Jan-24,KG,0.7,88,235.61,207.34,0,207.34  
21844,TGM - PORK BABY BACK RIBS - KILO,13-Jan-24,13-Jan-24,KG,4.98,88,"2,159.13","1,900.03",0,"1,900.03  "
21851,TGM - PORK LIVER - KILO,13-Jan-24,13-Jan-24,KG,0.15,88,28.86,25.4,0,25.40  
21854,TGM - PORK PORKCHOP SKINLESS - KILO,13-Jan-24,13-Jan-24,KG,2.03,88,769.37,677.05,0,677.05  
21857,TGM - PORK SUKIYAKI CUT - KILO,13-Jan-24,13-Jan-24,KG,0.58,88,243.02,213.86,0,213.86  
21862,TGM - PORKCHOP BONELESS - KILO,13-Jan-24,13-Jan-24,KG,1.62,88,646.38,568.81,0,568.81  
21866,TGM - PORK ADOBO CUT - KILO,13-Jan-24,13-Jan-24,KG,2.11,88,694.19,610.89,0,610.89  
21872,TGM - GROUND ROUND - KILO,13-Jan-24,13-Jan-24,KG,0.31,88,140,123.2,0,123.20  
21878,TGM - BEEF KALITIRAN - KILO,13-Jan-24,13-Jan-24,KG,0.56,88,321.35,282.79,0,282.79  
21826,TGM - PORKCHOP SOBI - KILO,14-Jan-24,14-Jan-24,KG,2.4,88,859.81,756.63,0,756.63  
21834,TGM - REGULAR GROUND PORK - KILO,14-Jan-24,14-Jan-24,KG,1.03,88,277.07,243.82,0,243.82  
21841,TGM - LEAN GROUND PORK - KILO,14-Jan-24,14-Jan-24,KG,2.06,88,647.49,569.79,0,569.79  
21843,TGM - PORK STEAK - KILO,14-Jan-24,14-Jan-24,KG,0.99,88,335.61,295.34,0,295.34  
21844,TGM - PORK BABY BACK RIBS - KILO,14-Jan-24,14-Jan-24,KG,4.69,88,"2,052.34","1,806.06",0,"1,806.06  "
21859,TGM - PORK BACON SLICE - KILO,14-Jan-24,14-Jan-24,KG,0.34,88,159.46,140.32,0,140.32  
21862,TGM - PORKCHOP BONELESS - KILO,14-Jan-24,14-Jan-24,KG,3.65,88,"1,450.38","1,276.33",0,"1,276.33  "
21865,TGM - PORK SAMGYEOPSAL - KILO,14-Jan-24,14-Jan-24,KG,0.43,88,199.33,175.41,0,175.41  
21866,TGM - PORK ADOBO CUT - KILO,14-Jan-24,14-Jan-24,KG,2.57,88,843.89,742.62,0,742.62  
