,1,Sales Liquidation By SKU,Report  Date: 03-04-2024 10:04,,,,,,,
,1,(Reference No:C_INVC_PO17304320),,,,,,,,
,1,,Page 1 Of 1,,,,,,,
,  1 1,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
From Period: 01-MAR-2024  ,To period: 31-MAR-2024,  Reference No:   C_INVC_PO17304320          ,                            PO No: 17304320        ,,,,,,,
,,,,,,,,,,
CONCESSIONAIRE,,,,,,,,,,
Supplier Site:    ,903066   -   PILMICO ANIMAL NUTRITION CORPORATION                                                                                                                                      ,Store:    ,2002-SUPER METRO MANDAUE          ,,,,,,,
Supplier Site Address:,ABOITIZ CORPORATE CENTER GOV. MANUEL A. CUENCE AVE. KASAMBAGAN,Department:,2020  - Meat and Poultry          ,,,,,,,
,",CEBU CITY",,,,,,,,,
SKU and transaction date wise summary:-,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
SKU,Description,Tran Date,Post Date,Sell UOM,QTY,Concession ,Gross Sales Amt ,Concession Amt ,Input VAT,Concession Amt
,,,,,,Rate   (%),(Incl of VAT),(Excl of VAT),,(Incl of VAT)
21842,TGM - PATA FRONT - KILO,2-Mar-24,4-Mar-24,KG,1.47,88,410.2,360.98,0,360.98  
21845,TGM - PORK CUBES - KILO,2-Mar-24,2-Mar-24,KG,0.73,88,245.78,216.29,0,216.29  
21851,TGM - PORK LIVER - KILO,2-Mar-24,2-Mar-24,KG,4.13,88,726.63,639.43,0,639.43  
21859,TGM - PORK BACON SLICE - KILO,2-Mar-24,2-Mar-24,KG,0.38,88,151.62,133.43,0,133.43  
21865,TGM - PORK SAMGYEOPSAL - KILO,2-Mar-24,2-Mar-24,KG,2.11,88,835.92,735.61,0,735.61  
21865,TGM - PORK SAMGYEOPSAL - KILO,2-Mar-24,4-Mar-24,KG,1.14,88,454.86,400.28,0,400.28  
21866,TGM - PORK ADOBO CUT - KILO,2-Mar-24,2-Mar-24,KG,2.2,88,724.35,637.43,0,637.43  
21866,TGM - PORK ADOBO CUT - KILO,2-Mar-24,4-Mar-24,KG,0.58,88,191.4,168.43,0,168.43  
21923,TGM - PORK GINISA CUT - KILO,2-Mar-24,2-Mar-24,KG,1.26,86,351.54,302.32,0,302.32  
21825,TGM - GROUND BEEF - KILO,3-Mar-24,3-Mar-24,KG,0.26,88,98.07,86.3,0,86.30  
21827,TGM - SHANGHAI MIX - KILO,3-Mar-24,3-Mar-24,KG,0.67,88,265.34,208.48,25.02,233.50  
21832,TGM - PORK BELLY SOBI - KILO,3-Mar-24,3-Mar-24,KG,2.57,88,972.14,855.48,0,855.48  
21834,TGM - REGULAR GROUND PORK - KILO,3-Mar-24,3-Mar-24,KG,1.54,88,428.27,376.88,0,376.88  
21837,TGM - PORK SINIGANG CUT - KILO,3-Mar-24,3-Mar-24,KG,1.32,88,341.88,300.85,0,300.85  
21839,TGM - PATA SLICED - KILO,3-Mar-24,3-Mar-24,KG,0.58,88,177.68,156.36,0,156.36  
21851,TGM - PORK LIVER - KILO,3-Mar-24,3-Mar-24,KG,1.65,88,294.46,259.12,0,259.12  
21859,TGM - PORK BACON SLICE - KILO,3-Mar-24,3-Mar-24,KG,0.55,88,217.46,191.36,0,191.36  
21865,TGM - PORK SAMGYEOPSAL - KILO,3-Mar-24,3-Mar-24,KG,2.43,88,969.58,853.23,0,853.23  
21866,TGM - PORK ADOBO CUT - KILO,3-Mar-24,3-Mar-24,KG,2.86,88,943.8,830.54,0,830.54  
21892,TGM - BEEF BREAKFAST STEAK - KILO,3-Mar-24,3-Mar-24,KG,0.15,88,79.61,70.06,0,70.06  
