YEAR,MONTH,CUT-OFF,SKU,Description,Tran Date,Post Date,Sell UOM,QTY,PACK,KG,PC,Concession Rate (%),Gross Sales Amt  (Incl of VAT),Concession Amt  (Excl of VAT),Input VAT,Concession Amt (Incl of VAT),AREA,CHAIN,BANNER,STORE CODE,BRANCH,SKU CATEGORY,SKU PER BRAND,GENERALIZED SKU,MOTHER SKU,Sales Category,SKU Department,PLACEMENT,PLACEMENT REMARKS,,,,,
2024,JUN,JUN 1 TO 30,21826,TGM - PORKCHOP SOBI - KILO,6/3/2024,6/3/2024,KG,0.92000,0.00000,0.92000,0.00000,88,346.79000,305.18000,0.00000,305.18000,SOUTH,METRO RETAIL,METRO GAISANO,2004,METRO LEGAZPI,PORK,TGM PORKCHOP SOBI,PORKCHOP SOBI,PORKCHOP,RETAIL,MEAT,TGM SHOWCASE,OK,Albay,Bicol,PORK,SHOWCASE,TGM
2024,JUN,JUN 1 TO 30,21832,TGM - PORK BELLY SOBI - KILO,6/3/2024,6/3/2024,KG,1.10000,0.00000,1.10000,0.00000,88,500.32000,440.28000,0.00000,440.28000,SOUTH,METRO RETAIL,METRO GAISANO,2004,METRO LEGAZPI,PORK,TGM BELLY SOBI/BELLY SLICED,BELLY SOBI/BELLY SLICED,BELLY,RETAIL,MEAT,TGM SHOWCASE,OK,Albay,Bicol,PORK,SHOWCASE,TGM
2024,JUN,JUN 1 TO 30,21837,TGM - PORK SINIGANG CUT - KILO,6/3/2024,6/3/2024,KG,0.85000,0.00000,0.85000,0.00000,88,238.65000,210.01000,0.00000,210.01000,SOUTH,METRO RETAIL,METRO GAISANO,2004,METRO LEGAZPI,PORK,TGM PORK SINIGANG CUT,PORK SINIGANG CUT,PORK SINIGANG CUT,RETAIL,MEAT,TGM SHOWCASE,OK,Albay,Bicol,PORK,SHOWCASE,TGM
2024,JUN,JUN 1 TO 30,21838,TGM - PORK MENUDO CUT - KILO,6/3/2024,6/3/2024,KG,0.60000,0.00000,0.60000,0.00000,88,210.33000,185.09000,0.00000,185.09000,SOUTH,METRO RETAIL,METRO GAISANO,2004,METRO LEGAZPI,PORK,TGM PORK MENUDO CUT,PORK MENUDO CUT,MENUDO CUT,RETAIL,MEAT,TGM SHOWCASE,OK,Albay,Bicol,PORK,SHOWCASE,TGM
2024,JUN,JUN 1 TO 30,21839,TGM - PATA SLICED - KILO,6/3/2024,6/3/2024,KG,1.44000,0.00000,1.44000,0.00000,88,459.36000,404.24000,0.00000,404.24000,SOUTH,METRO RETAIL,METRO GAISANO,2004,METRO LEGAZPI,PORK,TGM PATA SLICED,PATA SLICED,PATA SLICED,RETAIL,MEAT,TGM SHOWCASE,OK,Albay,Bicol,PORK,SHOWCASE,TGM
2024,JUN,JUN 1 TO 30,21841,TGM - LEAN GROUND PORK - KILO,6/3/2024,6/3/2024,KG,6.82000,0.00000,6.82000,0.00000,88,2298.44000,2022.63000,0.00000,2022.63000,SOUTH,METRO RETAIL,METRO GAISANO,2004,METRO LEGAZPI,PORK,TGM LEAN GROUND PORK,LEAN GROUND PORK,LEAN GROUND PORK,RETAIL,MEAT,TGM SHOWCASE,OK,Albay,Bicol,PORK,SHOWCASE,TGM
2024,JUN,JUN 1 TO 30,21843,TGM - PORK STEAK - KILO,6/3/2024,6/3/2024,KG,1.88000,0.00000,1.88000,0.00000,88,729.38000,641.85000,0.00000,641.85000,SOUTH,METRO RETAIL,METRO GAISANO,2004,METRO LEGAZPI,PORK,TGM PORK STEAK,PORK STEAK,PORK STEAK,RETAIL,MEAT,TGM SHOWCASE,OK,Albay,Bicol,PORK,SHOWCASE,TGM
2024,JUN,JUN 1 TO 30,21845,TGM - PORK CUBES - KILO,6/3/2024,6/3/2024,KG,1.38000,0.00000,1.38000,0.00000,88,521.13000,458.59000,0.00000,458.59000,SOUTH,METRO RETAIL,METRO GAISANO,2004,METRO LEGAZPI,PORK,TGM PORK CUBES,PORK CUBES,PORK CUBES,RETAIL,MEAT,TGM SHOWCASE,OK,Albay,Bicol,PORK,SHOWCASE,TGM
2024,JUN,JUN 1 TO 30,21851,TGM - PORK LIVER - KILO,6/3/2024,6/3/2024,KG,0.12000,0.00000,0.12000,0.00000,88,27.48000,24.18000,0.00000,24.18000,SOUTH,METRO RETAIL,METRO GAISANO,2004,METRO LEGAZPI,PORK,TGM PORK LIVER,PORK LIVER,PORK LIVER,RETAIL,MEAT,TGM SHOWCASE,OK,Albay,Bicol,PORK,SHOWCASE,TGM
2024,JUN,JUN 1 TO 30,21859,TGM - PORK BACON SLICE - KILO,6/3/2024,6/3/2024,KG,0.54000,0.00000,0.54000,0.00000,88,248.54000,218.72000,0.00000,218.72000,SOUTH,METRO RETAIL,METRO GAISANO,2004,METRO LEGAZPI,PORK,TGM BACON SLICE,BACON SLICE,BELLY,RETAIL,MEAT,TGM SHOWCASE,OK,Albay,Bicol,PORK,SHOWCASE,TGM
2024,JUN,JUN 1 TO 30,21866,TGM - PORK ADOBO CUT - KILO,6/3/2024,6/3/2024,KG,3.67000,0.00000,3.67000,0.00000,88,1270.99000,1118.47000,0.00000,1118.47000,SOUTH,METRO RETAIL,METRO GAISANO,2004,METRO LEGAZPI,PORK,TGM ADOBO CUT,ADOBO CUT,ADOBO CUT,RETAIL,MEAT,TGM SHOWCASE,OK,Albay,Bicol,PORK,SHOWCASE,TGM
2024,JUN,JUN 1 TO 30,21872,TGM - GROUND ROUND - KILO,6/3/2024,6/3/2024,KG,1.46000,0.00000,1.46000,0.00000,88,585.80000,515.50000,0.00000,515.50000,SOUTH,METRO RETAIL,METRO GAISANO,2004,METRO LEGAZPI,BEEF,TGM GROUND ROUND,GROUND ROUND,GROUND ROUND,RETAIL,MEAT,TGM SHOWCASE,OK,Albay,Bicol,BEEF,SHOWCASE,TGM
2024,JUN,JUN 1 TO 30,21873,TGM - BEEF SIRLOIN - KILO,6/3/2024,6/3/2024,KG,0.37000,0.00000,0.37000,0.00000,88,240.13000,211.31000,0.00000,211.31000,SOUTH,METRO RETAIL,METRO GAISANO,2004,METRO LEGAZPI,BEEF,TGM BEEF SIRLOIN,BEEF SIRLOIN,BEEF SIRLOIN,RETAIL,MEAT,TGM SHOWCASE,OK,Albay,Bicol,BEEF,SHOWCASE,TGM
2024,JUN,JUN 1 TO 30,21826,TGM - PORKCHOP SOBI - KILO,6/4/2024,6/4/2024,KG,2.51000,0.00000,2.51000,0.00000,88,945.62000,832.15000,0.00000,832.15000,SOUTH,METRO RETAIL,METRO GAISANO,2004,METRO LEGAZPI,PORK,TGM PORKCHOP SOBI,PORKCHOP SOBI,PORKCHOP,RETAIL,MEAT,TGM SHOWCASE,OK,Albay,Bicol,PORK,SHOWCASE,TGM
2024,JUN,JUN 1 TO 30,21832,TGM - PORK BELLY SOBI - KILO,6/4/2024,6/4/2024,KG,1.42000,0.00000,1.42000,0.00000,88,649.49000,571.55000,0.00000,571.55000,SOUTH,METRO RETAIL,METRO GAISANO,2004,METRO LEGAZPI,PORK,TGM BELLY SOBI/BELLY SLICED,BELLY SOBI/BELLY SLICED,BELLY,RETAIL,MEAT,TGM SHOWCASE,OK,Albay,Bicol,PORK,SHOWCASE,TGM
2024,JUN,JUN 1 TO 30,21837,TGM - PORK SINIGANG CUT - KILO,6/4/2024,6/4/2024,KG,1.41000,0.00000,1.41000,0.00000,88,406.05000,357.32000,0.00000,357.32000,SOUTH,METRO RETAIL,METRO GAISANO,2004,METRO LEGAZPI,PORK,TGM PORK SINIGANG CUT,PORK SINIGANG CUT,PORK SINIGANG CUT,RETAIL,MEAT,TGM SHOWCASE,OK,Albay,Bicol,PORK,SHOWCASE,TGM
2024,JUN,JUN 1 TO 30,21838,TGM - PORK MENUDO CUT - KILO,6/4/2024,6/4/2024,KG,3.48000,0.00000,3.48000,0.00000,88,1270.57000,1118.10000,0.00000,1118.10000,SOUTH,METRO RETAIL,METRO GAISANO,2004,METRO LEGAZPI,PORK,TGM PORK MENUDO CUT,PORK MENUDO CUT,MENUDO CUT,RETAIL,MEAT,TGM SHOWCASE,OK,Albay,Bicol,PORK,SHOWCASE,TGM
2024,JUN,JUN 1 TO 30,21839,TGM - PATA SLICED - KILO,6/4/2024,6/4/2024,KG,1.09000,0.00000,1.09000,0.00000,88,346.12000,304.59000,0.00000,304.59000,SOUTH,METRO RETAIL,METRO GAISANO,2004,METRO LEGAZPI,PORK,TGM PATA SLICED,PATA SLICED,PATA SLICED,RETAIL,MEAT,TGM SHOWCASE,OK,Albay,Bicol,PORK,SHOWCASE,TGM
2024,JUN,JUN 1 TO 30,21841,TGM - LEAN GROUND PORK - KILO,6/4/2024,6/4/2024,KG,6.77000,0.00000,6.77000,0.00000,88,2254.99000,1984.39000,0.00000,1984.39000,SOUTH,METRO RETAIL,METRO GAISANO,2004,METRO LEGAZPI,PORK,TGM LEAN GROUND PORK,LEAN GROUND PORK,LEAN GROUND PORK,RETAIL,MEAT,TGM SHOWCASE,OK,Albay,Bicol,PORK,SHOWCASE,TGM
2024,JUN,JUN 1 TO 30,21845,TGM - PORK CUBES - KILO,6/4/2024,6/4/2024,KG,2.60000,0.00000,2.60000,0.00000,88,936.15000,823.81000,0.00000,823.81000,SOUTH,METRO RETAIL,METRO GAISANO,2004,METRO LEGAZPI,PORK,TGM PORK CUBES,PORK CUBES,PORK CUBES,RETAIL,MEAT,TGM SHOWCASE,OK,Albay,Bicol,PORK,SHOWCASE,TGM
2024,JUN,JUN 1 TO 30,21851,TGM - PORK LIVER - KILO,6/4/2024,6/4/2024,KG,0.46000,0.00000,0.46000,0.00000,88,105.34000,92.70000,0.00000,92.70000,SOUTH,METRO RETAIL,METRO GAISANO,2004,METRO LEGAZPI,PORK,TGM PORK LIVER,PORK LIVER,PORK LIVER,RETAIL,MEAT,TGM SHOWCASE,OK,Albay,Bicol,PORK,SHOWCASE,TGM
